college,classCode,Name,Description
CAS,AA 103,Introduction to African American Literature,"An introduction to the political, cultural, and historical roots of the African American experience through  readings of a range of African American literature from Colonial to Contemporary. Carries humanities  divisional credit in CAS. Also offered as CAS EN 129.    "
CAS,AA 207,Sociology of Race and Ethnicity,Social definition of race and ethnicity. The adjustment of different ethnic groups and their impact upon  U.S. social life. How prejudice and discrimination create class identities and how caste relations have  affected patterns of integration during the nineteenth and twentieth centuries. Carries social science  divisional credit in CAS.  Also offered as CAS SO 207.      
CAS,AA 304,Introduction to African American Women Writers,"Examines the African American female literary tradition through selected texts by African American  women, written from slavery to the present. Critical scholarship that interrogates race, gender, and class and examines literary history provides the larger context for discussion of these works. Also offered as CAS EN 370.    "
CAS,AA 305,Toni Morrison's American Times,"Examines four of the Nobel Laureate's novels, using primary and secondary materials to construct historical contexts and critical perspectives. Also offered as CAS EN 370.    "
CAS,AA 306,Experiencing Cuba,"History, Culture, and Politics Expeditionary course, team taught by BU and local faculty in Havana, Cuba. Firsthand study of the island's  history, culture, and politics, toward understanding of the local, international, and transnational processes  that shaped and continue to shape this unique society. Also offered as CAS HI 395 E and CAS IR 246 E.   "
CAS,AA 310,History of the Civil Rights Movement,"History of the African American struggle for racial equality and democracy from the turn of the century through the 1960s. Use is made of the most recent scholarship, memoirs, documentary films, and oral history accounts. Also offered as CAS HI 378.    "
CAS,AA 316,African Diaspora Arts in the Americas,"Study of the transmission of African artistry in the Caribbean, South America, and the  United States from the period of slavery to the present. Topics include Kongo and Yoruba  arts and their influence on the arts of Santerê_a, Vodun, and carnival. Also offered as CAS AH 316.    "
CAS,AA 363,Race and the Development of the American Economy,A Global Perspective Surveys the economic history of African Americans within the context of the development of the American and global economies. Topics include the economics of slavery; race and industrialization; the Great Migration; anti-discrimination legislation; and the historical origins of contemporary racial inequalities. Also offered as CAS EC 363.     
CAS,AA 371,African American History,"The history of African Americans from African origins to present time; consideration of slavery,  reconstruction, and ethnic relations from the colonial era to our own time. Also offered as CAS HI 298.     "
CAS,AA 382,History of Religion in Pre-Colonial Africa,"The study of the development of religious traditions in Africa during the period prior to European  colonialism. An emphasis on both indigenous religions and the growth and spread of Judaism, Christianity, and Islam in the continent as a whole. Also offered as CAS HI 349 and CAS RN 382.    "
CAS,AA 385,Atlantic History,"Examines the various interactions that shaped the Atlantic World, connecting Europe, Africa, and the Americas between 1400 and 1800. Begins by defining the political interaction, then emphasizes cultural exchange, religious conversion, and the revolutionary era. Also offered as CAS HI 350.    "
CAS,AA 388,Black Radical Thought,"Black radical thought in America, Europe, and Africa since the eighteenth century through writings of abolitionists, leaders of revolutions and liberation movements, Black nationalists, and Black socialists. Emphasizes the global nature of the ""Black World"" and its role in world history. Also offered as CAS HI 361.    "
CAS,AA 395,"Power, Leadership, and Governance in Africa and the Caribbean","Haitian Revolution; British Caribbean, leadership, governance, and power in Africa during the period of legitimate trade; visionaries, dictators, and nationalist politics in the Caribbean; chiefs, western elites, and nationalism in colonial Africa; road to governance in post-colonial Caribbean and Africa. Also offered as CAS HI 352 and IR 394.    "
CAS,AA 408,Seminar," Ethnic, Race, and Minority Relations Formation and position of ethnic minorities in the United States, including cross-group comparisons from England, Africa, and other parts of the world.  Readings and field experience. Also offered as CAS SO 408.    "
CAS,AA 489,The African Diaspora in the Americas,"Topic for Spring 2015 African American History in Comparative Perspective. African American history in an  international framework. Examines development of racial categories during and after the transatlantic  trade, Black participation in the wars of independence in the Americas, diverse Black communities in the  twentieth century. Also offered as CAS HI 489.   "
CAS,AA 490,Blacks and Asians,"Encounters Through Time and Space Exploration of historical encounters between Africans and people of African descent, and Asians and people of Asian descent.  How such people imagined themselves, interacted with each other, viewed each other, influenced each other, and borrowed from each other.   "
CAS,AA 491,Directed Study in African American Studies,"Cannot provide class description."
CAS,AA 492,Directed Study in African American Studies,"Cannot provide class description."
CAS,AA 501,Topics in African American Literature,"Topic for Fall 2013 Literature of the Early Black Atlantic. Considers the first century of literature written in  English by authors of African descent, including Phillis Wheatley, Olaudah Equiano, Mary Prince, and  Frederick Douglass. How did these writers represent the early modern world? How did they work to change  it? Also offered as CAS EN 579 A1.   "
CAS,AA 502,Topics in African American Literature,"Topic for Spring 2015 Tracking Changes in the Twentieth-Century African American Novel Negotiations  of Genre and Gender. Readings of Slave Narratives and Neo Slave Narratives, and the Urban Novel. Authors include Toni Morrison, Octavia Butler, Richard Wright, Ralph Ellison, and Walter Mosley. Also offered as  CAS EN 588.  "
CAS,AA 504,African American and Asian American Women Writers,"Cross-cultural comparison of selected African American and Asian American women writers examines  strategies by the ""Other"" to navigate cultural constructions of race, class, and gender. Attention to literary  histories. Also offered as CAS EN 584.    "
CAS,AA 507,Literature of the Harlem Renaissance,"This study of the Harlem Renaissance (1919-1935) focuses on literature with overviews of the stage, the  music, and the visual arts. Authors include Du Bois, Locke, Garvey, Schuyler, Hurston, McKay, Larsen,  Fisher, Hughes, Cullen. Also offered as CAS EN 377.    "
CAS,AA 510,African American Drama,"A study of African American and Afro-Caribbean dramatic literature. Focuses on the work of August  Wilson, Lorraine Hansberry, Aimê© Cê©saire, and Derek Walcott in the context of Western drama. Also offered  as CAS EN 588 A1.     "
CAS,AA 514,"Labor, Sexuality, and Resistance in the Afro-Atlantic World","The role of slavery in shaping the society and culture of the Afro-Atlantic world, highlighting the role of  labor, the sexual economy of slave regimes, and the various strategies of resistance deployed by enslaved people. Also offered as CAS HI 584.    "
CAS,AA 569,African American Economic History,"Introduction to current research in African American economic history. Topics include slavery and its aftermath, the long-term evolution of racial economic differences, segregation, voting rights, and anti-discrimination legislation. Also offered as CAS EC 569.    "
CAS,AA 571,African American Art,"Studies African American art and craft production from the early nineteenth century to the present against the background of the diaspora, reconstruction, and the modernist movements of the late-nineteenth and twentieth centuries. Also offered as CAS AH 571.     "
CAS,AA 580,The History of Racial Thought,"Study of racial thinking and feeling in Europe and the United States since the fifteenth   century. Racial thinking in the context of Western encounters with non-European people   and Jews; its relation to social, economic, cultural, and political trends. Also offered as   CAS HI 580.    "
CAS,AA 588,"Women, Power, and Culture in Africa","Understanding the role of women in African history. Topics include the Atlantic slave trade, power, religion, the economy, resistance movements, health, the state, and kinship. Emphasis on the period before independence. Also offered as CAS HI 588.     "
CAS,AA 590,The World and the West,"Explores relations between the West and the Third World from 1850, focusing on  national and cultural movements in the Third World, and places the African American  struggle for freedom in the United States in global and comparative perspective. Also  offered as CAS HI 590.    "
CAS,AH 111,Introduction to Art History I,"Antiquity to the Middle Ages An introduction to art history and the analysis of painting, sculpture, and architecture. Study of masterpieces from prehistoric to medieval times. Focus on monuments of Greece, Rome, and the Middle Ages, with a survey of Egyptian and Near Eastern art. Carries humanities divisional credit in CAS.     "
CAS,AH 112,Introduction to Art History II,"Renaissance to Today Major monuments and artists. Sequential development, from the Renaissance to the modern period, of major styles in architecture, sculpture, painting, graphic arts, and photography. Relationship of visual art to social and cultural trends. Carries humanities divisional credit in CAS.     "
CAS,AH 201,Understanding Architecture,"Theoretical Approaches to the Built Environment Introduces a range of approaches to the analysis of architecture. Learn how scholars and architects have interpreted meaning in architecture through the rubrics of art, structure, language, nonverbal communication, experience, and culture.   "
CAS,AH 204,Topics in Religion and the Visual Arts,"Explores interplay between religion and art through the study of historical, contemporary examples. Topic     changes each year. May be repeated for credit. Topic for Fall 2014 Buddhist Art of Asia. Study of the  philosophical underpinnings, use and social significance of Buddhist Art in India, Tibet, China, and  Indonesia. Special attention to the communication of key Buddhist concepts and practices through the use  of visual narrative strategies. Also offered as CAS RN 204.   "
CAS,AH 205,Architecture,"An Introduction Examination of the factors involved in architectural design including program, spatial composition, structure, technology, iconography, and the role of architecture in society. Discussion of major monuments of Western architecture and urbanism from ancient Egypt to the twenty-first century. Carries humanities divisional credit in CAS.     "
CAS,AH 215,Arts of Africa,"Exploration of key themes in royal art and architecture from western central, eastern, and southern Africa. Topics include state cosmology, dynastic history, palace architecture, royal regalia and ceremonies, court women, and the importance of art in diplomacy and war. Carries humanities divisional credit in CAS.      "
